# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.50000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
6.2             	1.28016892e-09	9.34337851e-01	5.79435964e-08	3.02519671e-08	2.76916293e-08
6.25            	1.27212945e-09	9.32897520e-01	3.09240700e-08	1.67341645e-08	1.41899056e-08
6.3             	1.26921520e-09	9.31267439e-01	8.70940711e-08	4.48162507e-08	4.22778203e-08
6.35            	1.28621747e-09	9.29780062e-01	-1.27216106e-08	-5.07458785e-09	-7.64702278e-09
6.4             	1.36685480e-09	9.28381119e-01	9.78442514e-08	5.02889805e-08	4.75552709e-08
6.45            	1.44384047e-09	9.27016998e-01	5.07889518e-08	2.68383164e-08	2.39506354e-08
6.5             	1.55008205e-09	9.25700205e-01	8.56705521e-08	4.43853581e-08	4.12851940e-08
6.55            	1.66083953e-09	9.24390812e-01	6.62822249e-08	3.48019520e-08	3.14802729e-08
6.6             	1.77742400e-09	9.23138845e-01	9.29527729e-08	4.82538104e-08	4.46989624e-08
6.65            	1.89885739e-09	9.21956462e-01	2.03220178e-07	1.03508947e-07	9.97112319e-08
6.7             	1.96067302e-09	9.20833269e-01	1.58684388e-07	8.13028670e-08	7.73815210e-08
6.75            	2.27602875e-09	9.19414380e-01	8.81641921e-07	4.43096989e-07	4.38544932e-07
6.8             	2.04211611e-09	9.18199808e-01	-4.11754494e-07	-2.03835131e-07	-2.07919363e-07
6.85            	2.09630861e-09	9.16998576e-01	6.02592662e-07	3.03392640e-07	2.99200022e-07
6.9             	2.21662986e-09	9.15626897e-01	9.08452226e-07	4.56442743e-07	4.52009483e-07
6.95            	2.01203197e-09	9.14375594e-01	-1.34192274e-07	-6.50841048e-08	-6.91081687e-08
7               	2.07714325e-09	9.13109362e-01	6.61900422e-07	3.33027354e-07	3.28873068e-07
7.05            	2.07870167e-09	9.11909532e-01	5.43747085e-07	2.73952244e-07	2.69794841e-07
7.1             	2.15355712e-09	9.10672254e-01	5.47285699e-07	2.75796407e-07	2.71489292e-07
7.15            	2.26343379e-09	9.09362199e-01	5.32520931e-07	2.68523899e-07	2.63997031e-07
7.2             	2.44195344e-09	9.08145596e-01	5.68640544e-07	2.86762225e-07	2.81878318e-07
7.25            	2.68101541e-09	9.06992341e-01	6.51079611e-07	3.28220821e-07	3.22858790e-07
7.3             	2.95566550e-09	9.05856375e-01	6.44444195e-07	3.25177763e-07	3.19266432e-07
7.35            	3.26799939e-09	9.04666301e-01	6.93147879e-07	3.49841939e-07	3.43305940e-07
7.4             	3.58104388e-09	9.03496803e-01	6.62974551e-07	3.35068319e-07	3.27906232e-07
7.45            	3.88675312e-09	9.02343299e-01	6.63340254e-07	3.35556880e-07	3.27783374e-07
7.5             	4.31430851e-09	9.01050086e-01	8.34980653e-07	4.21804635e-07	4.13176018e-07
7.55            	4.66022206e-09	8.99879635e-01	6.56405567e-07	3.32863005e-07	3.23542561e-07
7.6             	4.96921493e-09	8.98747180e-01	7.04281687e-07	3.57110059e-07	3.47171629e-07
7.65            	5.21823382e-09	8.97591937e-01	7.35601971e-07	3.73019219e-07	3.62582751e-07
7.7             	5.40717183e-09	8.96420640e-01	7.15343705e-07	3.63079024e-07	3.52264681e-07
7.75            	5.55459676e-09	8.95312789e-01	7.22982846e-07	3.67046020e-07	3.55936826e-07
7.8             	5.66729585e-09	8.94168726e-01	7.28210900e-07	3.69772746e-07	3.58438154e-07
7.85            	5.74131522e-09	8.92987179e-01	7.07857055e-07	3.59669843e-07	3.48187212e-07
7.9             	5.80238860e-09	8.91829293e-01	7.11717220e-07	3.61660998e-07	3.50056221e-07
7.95            	5.86987939e-09	8.90707830e-01	7.24234498e-07	3.67987128e-07	3.56247369e-07
8               	5.93346815e-09	8.89579659e-01	7.25725173e-07	3.68796054e-07	3.56929118e-07
8.05            	5.97214152e-09	8.88540591e-01	6.30077101e-07	3.21010692e-07	3.09066409e-07
8.1             	6.03214038e-09	8.87504189e-01	7.05923103e-07	3.58993692e-07	3.46929411e-07
8.15            	6.06749168e-09	8.86421314e-01	6.34294539e-07	3.23214761e-07	3.11079778e-07
8.2             	6.12929746e-09	8.85402674e-01	6.77832629e-07	3.45045612e-07	3.32787017e-07
8.25            	6.36234225e-09	8.84323892e-01	7.96613268e-07	4.04668976e-07	3.91944292e-07
8.3             	6.75705435e-09	8.83215068e-01	9.42190859e-07	4.77852484e-07	4.64338375e-07
8.35            	6.76429902e-09	8.82382859e-01	5.67733774e-07	2.90631186e-07	2.77102588e-07
8.4             	6.84607637e-09	8.81449957e-01	7.58252027e-07	3.85972090e-07	3.72279937e-07
8.45            	7.09818557e-09	8.80360413e-01	9.62953916e-07	4.88575143e-07	4.74378772e-07
8.5             	7.13373156e-09	8.79525937e-01	6.20061224e-07	3.17164344e-07	3.02896880e-07
8.55            	7.32975973e-09	8.78538812e-01	9.23449592e-07	4.69054555e-07	4.54395036e-07
8.6             	7.57564625e-09	8.77365843e-01	8.98041428e-07	4.56596360e-07	4.41445068e-07
8.65            	7.81472360e-09	8.76301698e-01	8.96447889e-07	4.56038668e-07	4.40409221e-07
8.7             	8.09984938e-09	8.75162066e-01	1.02054912e-06	5.18374410e-07	5.02174712e-07
8.75            	8.47057736e-09	8.73892602e-01	1.09334589e-06	5.55143524e-07	5.38202369e-07
8.8             	8.80522524e-09	8.72699677e-01	1.05889192e-06	5.38251184e-07	5.20640734e-07
8.85            	8.79289707e-09	8.71771456e-01	7.95299984e-07	4.06442889e-07	3.88857095e-07
8.9             	8.86388024e-09	8.70747302e-01	9.24892718e-07	4.71310239e-07	4.53582479e-07
8.95            	8.91562722e-09	8.69698665e-01	8.90042284e-07	4.53936769e-07	4.36105515e-07
9               	8.87759166e-09	8.68692804e-01	8.09132366e-07	4.13443775e-07	3.95688591e-07
9.05            	9.07298408e-09	8.67589052e-01	9.85231178e-07	5.01688573e-07	4.83542605e-07
9.1             	9.34519656e-09	8.66388397e-01	1.02168900e-06	5.20189697e-07	5.01499304e-07
9.15            	9.48296396e-09	8.65316236e-01	8.94799544e-07	4.56882736e-07	4.37916808e-07
9.2             	9.71295037e-09	8.64203932e-01	9.44070403e-07	4.81748152e-07	4.62322251e-07
9.25            	9.58029822e-09	8.63282728e-01	8.18292989e-07	4.18726793e-07	3.99566196e-07
9.3             	9.58205774e-09	8.62310231e-01	7.75262148e-07	3.97213132e-07	3.78049016e-07
9.35            	9.62745074e-09	8.61344289e-01	8.61720554e-07	4.40487727e-07	4.21232826e-07
9.4             	9.68544238e-09	8.60388480e-01	8.52102414e-07	4.35736650e-07	4.16365765e-07
9.45            	9.68608368e-09	8.59453246e-01	7.57100651e-07	3.88236409e-07	3.68864242e-07
