# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
1.85            	((6.96244645e+00 -5.90861252e-08 4.56973565e-20) (8.59848534e-01 6.96342218e-09 -6.65397485e-22)) ((1.43259871e-18 -3.51844736e-20 8.12891421e-14) (-5.79966010e-19 7.06360000e-22 4.19765148e-09))
1.9             	((6.88554113e+00 -8.95991079e-08 4.49413009e-20) (8.53798921e-01 6.42815844e-09 -6.60421501e-22)) ((1.41764103e-18 -3.49595655e-20 8.71976102e-14) (-5.93726590e-19 7.05339214e-22 4.52463558e-09))
1.95            	((6.81295621e+00 -7.85419786e-08 4.42277632e-20) (8.47993876e-01 5.80537617e-09 -6.54926870e-22)) ((1.40378635e-18 -3.47523372e-20 9.03357250e-14) (-6.09477466e-19 7.03134062e-22 5.24436183e-09))
2               	((6.74343446e+00 -1.46074882e-07 4.35424563e-20) (8.42432164e-01 4.68326834e-09 -6.48893143e-22)) ((1.39068926e-18 -3.45316992e-20 9.14259987e-14) (-6.24411796e-19 6.99774855e-22 5.29871413e-09))
2.05            	((6.68550867e+00 -9.00494605e-08 4.28967276e-20) (8.37163965e-01 3.70451153e-09 -6.43009772e-22)) ((1.37934400e-18 -3.43648566e-20 9.42171688e-14) (-6.38037198e-19 6.95967297e-22 5.22265968e-09))
2.1             	((6.63449776e+00 -1.49092707e-07 4.22517959e-20) (8.32121345e-01 2.45909361e-09 -6.37161499e-22)) ((1.36922924e-18 -3.42196004e-20 9.96546595e-14) (-6.51374948e-19 6.91570983e-22 5.48274248e-09))
2.15            	((6.59556587e+00 -9.80356622e-08 4.16854394e-20) (8.27351894e-01 1.20157458e-09 -6.31384505e-22)) ((1.36131054e-18 -3.41200504e-20 1.04975056e-13) (-6.64727313e-19 6.86755953e-22 5.19030475e-09))
2.2             	((6.55299808e+00 -1.03417501e-07 4.10529899e-20) (8.22850361e-01 8.08580911e-11 -6.25618232e-22)) ((1.35428866e-18 -3.39873061e-20 1.03556053e-13) (-6.78052013e-19 6.81651222e-22 5.18254945e-09))
2.25            	((6.51680002e+00 -1.11549069e-07 4.04502333e-20) (8.18549830e-01 -1.31544244e-09 -6.20120193e-22)) ((1.34885486e-18 -3.38818534e-20 1.14185571e-13) (-6.90688908e-19 6.76638154e-22 4.88509690e-09))
2.3             	((6.47875074e+00 -5.25820512e-08 3.98510624e-20) (8.14392509e-01 -1.82594984e-09 -6.14969879e-22)) ((1.34312934e-18 -3.37528210e-20 1.08350828e-13) (-7.02941567e-19 6.71868304e-22 5.62144242e-09))
2.35            	((6.44697257e+00 -8.07569399e-08 3.93058857e-20) (8.10392191e-01 -2.40651303e-09 -6.10360663e-22)) ((1.33827008e-18 -3.36498973e-20 1.11053527e-13) (-7.14780603e-19 6.67586567e-22 6.11726478e-09))
2.4             	((6.41735384e+00 -2.76089676e-06 3.87593329e-20) (8.06507023e-01 -1.96451562e-08 -6.05970926e-22)) ((1.33396535e-18 -3.35531637e-20 1.73335304e-13) (-7.24000728e-19 6.63541305e-22 6.04539620e-09))
2.45            	((6.38873948e+00 4.26444249e-08 3.81933955e-20) (8.02710103e-01 -1.77078466e-08 -6.01687433e-22)) ((1.33072523e-18 -3.34457783e-20 1.55551787e-13) (-7.31246741e-19 6.59525946e-22 7.83190862e-09))
