# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
4               	1.98499802e-11	1.38335743e+00	-3.36762358e-07	-1.68361329e-07	-1.68401029e-07
4.05            	6.13925458e-11	1.38084430e+00	-1.34594992e-07	-6.72361034e-08	-6.73588885e-08
4.1             	8.23622764e-11	1.37760854e+00	-1.26869673e-07	-6.33524745e-08	-6.35171990e-08
4.15            	7.75332635e-11	1.37454512e+00	-1.31154479e-07	-6.54997060e-08	-6.56547725e-08
4.2             	7.09679281e-11	1.37149406e+00	-1.42059811e-07	-7.09589375e-08	-7.11008733e-08
4.25            	6.79799372e-11	1.36867017e+00	-1.43698285e-07	-7.17811626e-08	-7.19171225e-08
4.3             	6.36799126e-11	1.36592528e+00	-1.52582333e-07	-7.62274866e-08	-7.63548465e-08
4.35            	6.46361456e-11	1.36274106e+00	-1.47957183e-07	-7.39139554e-08	-7.40432277e-08
4.4             	1.02119356e-10	1.35991515e+00	-1.22218870e-07	-6.10073156e-08	-6.12115543e-08
4.45            	1.46333492e-10	1.35702714e+00	-1.09899813e-07	-5.48035729e-08	-5.50962399e-08
4.5             	1.80625688e-10	1.35393606e+00	-1.65453054e-07	-8.25459012e-08	-8.29071526e-08
4.55            	2.10799935e-10	1.35050796e+00	-1.63013725e-07	-8.12960624e-08	-8.17176622e-08
4.6             	2.38945842e-10	1.34693420e+00	-1.43869532e-07	-7.16958201e-08	-7.21737118e-08
4.65            	2.63264885e-10	1.34385309e+00	-1.20720519e-07	-6.00969947e-08	-6.06235244e-08
4.7             	2.78656644e-10	1.34098328e+00	-1.51633947e-07	-7.55383170e-08	-7.60956302e-08
4.75            	2.91275973e-10	1.33760406e+00	-1.41784877e-07	-7.06011625e-08	-7.11837145e-08
4.8             	3.07131084e-10	1.33478622e+00	-1.59544528e-07	-7.94651327e-08	-8.00793948e-08
4.85            	3.20342984e-10	1.33182914e+00	-1.59522396e-07	-7.94408550e-08	-8.00815410e-08
4.9             	3.32167678e-10	1.32855058e+00	-1.55410106e-07	-7.73728852e-08	-7.80372206e-08
4.95            	3.45749557e-10	1.32553623e+00	-1.45038384e-07	-7.21734425e-08	-7.28649417e-08
5               	3.57791089e-10	1.32254357e+00	-1.49105882e-07	-7.41951499e-08	-7.49107321e-08
5.05            	3.60697198e-10	1.31968289e+00	-1.51131766e-07	-7.52051856e-08	-7.59265800e-08
5.1             	3.73918189e-10	1.31677810e+00	-1.50323415e-07	-7.47877892e-08	-7.55356256e-08
5.15            	3.94452766e-10	1.31407761e+00	-1.55213490e-07	-7.72122922e-08	-7.80011977e-08
5.2             	4.09593256e-10	1.31138540e+00	-1.38278352e-07	-6.87295826e-08	-6.95487691e-08
5.25            	3.94885794e-10	1.30888041e+00	-1.58924321e-07	-7.90672747e-08	-7.98570463e-08
5.3             	3.76063212e-10	1.30597018e+00	-1.26794379e-07	-6.30211262e-08	-6.37732526e-08
5.35            	3.71422079e-10	1.30329833e+00	-1.55615129e-07	-7.74361425e-08	-7.81789866e-08
5.4             	3.75083766e-10	1.30082675e+00	-1.39525770e-07	-6.93878014e-08	-7.01379689e-08
5.45            	2.68255903e-10	1.29818320e+00	-9.48917352e-07	-4.74190420e-07	-4.74726932e-07
5.5             	1.67915958e-10	1.29509055e+00	1.04373222e-08	5.38657704e-09	5.05074513e-09
5.55            	1.41757993e-10	1.29330621e+00	4.13531822e-07	2.06907669e-07	2.06624153e-07
5.6             	5.62508778e-11	1.29083699e+00	-1.10547947e-06	-5.52683483e-07	-5.52795985e-07
5.65            	4.17564070e-12	1.28841331e+00	-6.54468072e-08	-3.27192279e-08	-3.27275792e-08
5.7             	-7.15442554e-11	1.28617233e+00	-2.86082753e-07	-1.43112921e-07	-1.42969832e-07
5.75            	-1.24862685e-10	1.28383417e+00	-2.47405523e-07	-1.23827624e-07	-1.23577899e-07
5.8             	-1.57544375e-10	1.28180501e+00	-2.67793219e-07	-1.34054154e-07	-1.33739065e-07
5.85            	-1.83401023e-10	1.27978773e+00	-2.69553049e-07	-1.34959925e-07	-1.34593123e-07
5.9             	-2.00079671e-10	1.27765494e+00	-2.41168315e-07	-1.20784237e-07	-1.20384078e-07
5.95            	-2.01819998e-10	1.27500163e+00	-2.21139849e-07	-1.10771744e-07	-1.10368104e-07
6               	-1.98334211e-10	1.27296927e+00	-3.00636422e-07	-1.50516545e-07	-1.50119877e-07
6.05            	-1.95733922e-10	1.27093146e+00	-2.35966558e-07	-1.18179013e-07	-1.17787545e-07
6.1             	-1.63033851e-10	1.26836456e+00	-1.95995817e-07	-9.81609423e-08	-9.78348746e-08
6.15            	-1.61748010e-10	1.26712097e+00	-3.87294555e-07	-1.93809025e-07	-1.93485529e-07
6.2             	-1.20329729e-10	1.26500820e+00	-1.15143253e-07	-5.76919560e-08	-5.74512966e-08
6.25            	-1.04055896e-10	1.26308075e+00	-2.98957491e-07	-1.49582801e-07	-1.49374690e-07
6.3             	-8.49664006e-11	1.26125429e+00	-2.44060294e-07	-1.22115114e-07	-1.21945181e-07
6.35            	-6.26207935e-11	1.25925211e+00	-2.03330881e-07	-1.01728061e-07	-1.01602820e-07
6.4             	-4.50543875e-11	1.25719826e+00	-2.37309347e-07	-1.18699728e-07	-1.18609619e-07
6.45            	-4.34205939e-11	1.25527840e+00	-2.33915378e-07	-1.17001110e-07	-1.16914269e-07
6.5             	-3.80464396e-11	1.25340017e+00	-2.48208532e-07	-1.24142313e-07	-1.24066220e-07
6.55            	-6.68021097e-11	1.25152300e+00	-2.55886170e-07	-1.28009887e-07	-1.27876283e-07
6.6             	-1.03257047e-10	1.24962824e+00	-2.64157758e-07	-1.32182136e-07	-1.31975622e-07
6.65            	-1.36815225e-10	1.24785573e+00	-2.59889206e-07	-1.30081418e-07	-1.29807788e-07
6.7             	-1.62816062e-10	1.24600389e+00	-2.44621508e-07	-1.22473570e-07	-1.22147938e-07
6.75            	-1.83110679e-10	1.24419562e+00	-2.46771047e-07	-1.23568634e-07	-1.23202413e-07
6.8             	-2.09321249e-10	1.24277013e+00	-2.81107310e-07	-1.40762976e-07	-1.40344334e-07
6.85            	-2.19495040e-10	1.24106186e+00	-1.86598672e-07	-9.35188312e-08	-9.30798411e-08
6.9             	-2.24828920e-10	1.23925748e+00	-2.17976778e-07	-1.09213218e-07	-1.08763560e-07
6.95            	-2.42105624e-10	1.23791445e+00	-2.89097111e-07	-1.44790661e-07	-1.44306450e-07
7               	-2.47395523e-10	1.23630226e+00	-1.76804028e-07	-8.86494096e-08	-8.81546186e-08
7.05            	-2.57475251e-10	1.23473674e+00	-2.47544106e-07	-1.24029528e-07	-1.23514578e-07
7.1             	-2.67751454e-10	1.23309683e+00	-2.05717165e-07	-1.03126334e-07	-1.02590831e-07
7.15            	-2.73367870e-10	1.23150848e+00	-2.10556622e-07	-1.05551679e-07	-1.05004943e-07
7.2             	-2.76550532e-10	1.22996532e+00	-2.01600683e-07	-1.01076892e-07	-1.00523791e-07
7.25            	-2.79452094e-10	1.22843525e+00	-2.08413624e-07	-1.04486264e-07	-1.03927360e-07
7.3             	-2.81942344e-10	1.22685211e+00	-2.07580590e-07	-1.04072238e-07	-1.03508353e-07
7.35            	-2.79637254e-10	1.22528931e+00	-1.93902250e-07	-9.72307621e-08	-9.66714876e-08
7.4             	-2.65804556e-10	1.22337903e+00	-1.46535725e-07	-7.35336669e-08	-7.30020578e-08
7.45            	-2.72395515e-10	1.22214529e+00	-3.02035397e-07	-1.51290094e-07	-1.50745303e-07
7.5             	-2.61141099e-10	1.22062906e+00	-9.56163008e-08	-4.80692915e-08	-4.75470093e-08
7.55            	-2.58380094e-10	1.21912900e+00	-1.97448087e-07	-9.89824237e-08	-9.84656635e-08
7.6             	-2.48351825e-10	1.21763589e+00	-1.65071867e-07	-8.27842851e-08	-8.22875815e-08
7.65            	-2.43781877e-10	1.21606598e+00	-1.91278116e-07	-9.58828398e-08	-9.53952760e-08
7.7             	-2.37102382e-10	1.21462845e+00	-1.61999885e-07	-8.12370447e-08	-8.07628399e-08
7.75            	-2.31945820e-10	1.21322208e+00	-1.67593886e-07	-8.40288887e-08	-8.35649970e-08
7.8             	-2.26711992e-10	1.21188019e+00	-1.67568752e-07	-8.40110880e-08	-8.35576640e-08
7.85            	-2.25132749e-10	1.21041120e+00	-1.52926655e-07	-7.66884603e-08	-7.62381948e-08
7.9             	-2.23938018e-10	1.20887587e+00	-1.55936629e-07	-7.81922526e-08	-7.77443766e-08
7.95            	-2.17320326e-10	1.20730517e+00	-1.61213590e-07	-8.08241153e-08	-8.03894747e-08
8               	-2.13176962e-10	1.20596259e+00	-1.68782377e-07	-8.46043654e-08	-8.41780115e-08
8.05            	-2.02562206e-10	1.20456191e+00	-1.39864856e-07	-7.01349904e-08	-6.97298659e-08
8.1             	-1.97038287e-10	1.20320208e+00	-1.37996689e-07	-6.91953828e-08	-6.88013062e-08
8.15            	-1.80649175e-10	1.20190046e+00	-1.34626016e-07	-6.74936569e-08	-6.71323586e-08
8.2             	-1.79551666e-10	1.20076460e+00	-1.95846205e-07	-9.81026543e-08	-9.77435510e-08
8.25            	-1.75460068e-10	1.19944508e+00	-9.67411135e-08	-4.85460168e-08	-4.81950967e-08
8.3             	-1.72620133e-10	1.19812636e+00	-1.42887510e-07	-7.16163750e-08	-7.12711347e-08
8.35            	-1.84737533e-10	1.19682752e+00	-1.31869009e-07	-6.61192422e-08	-6.57497672e-08
8.4             	-1.78679671e-10	1.19550588e+00	-1.29981125e-07	-6.51692424e-08	-6.48118831e-08
8.45            	-1.68817400e-10	1.19424124e+00	-1.34199310e-07	-6.72684724e-08	-6.69308376e-08
8.5             	-1.62781393e-10	1.19297853e+00	-1.18789050e-07	-5.95573064e-08	-5.92317436e-08
8.55            	-1.57174693e-10	1.19171819e+00	-1.24592730e-07	-6.24535395e-08	-6.21391901e-08
8.6             	-1.51535215e-10	1.19046525e+00	-1.16709176e-07	-5.85061234e-08	-5.82030530e-08
8.65            	-1.70411894e-10	1.18923561e+00	-5.57681008e-07	-2.79010916e-07	-2.78670092e-07
8.7             	-2.37678707e-10	1.18793843e+00	-5.92729572e-08	-2.98741573e-08	-2.93987999e-08
8.75            	-3.01985218e-10	1.18671718e+00	-1.81060457e-07	-9.08322137e-08	-9.02282433e-08
8.8             	-3.47365585e-10	1.18549509e+00	-1.70405326e-07	-8.55500287e-08	-8.48552975e-08
8.85            	-3.78391215e-10	1.18421387e+00	-1.63449615e-07	-8.21031988e-08	-8.13464163e-08
8.9             	-3.97113890e-10	1.18294112e+00	-1.47195448e-07	-7.39948378e-08	-7.32006100e-08
8.95            	-4.12015204e-10	1.18186131e+00	-2.32869994e-07	-1.16847012e-07	-1.16022982e-07
9               	-4.24004014e-10	1.18075606e+00	-1.24060602e-07	-6.24543048e-08	-6.16062967e-08
9.05            	-4.33037917e-10	1.17957583e+00	-1.44997928e-07	-7.29320020e-08	-7.20659262e-08
9.1             	-4.34556166e-10	1.17824267e+00	-1.50687504e-07	-7.57783082e-08	-7.49091959e-08
9.15            	-4.43850432e-10	1.17736525e+00	-1.71311169e-07	-8.60994352e-08	-8.52117343e-08
9.2             	-4.56562803e-10	1.17634862e+00	-1.04046692e-07	-5.24799089e-08	-5.15667833e-08
9.25            	-4.70155812e-10	1.17522587e+00	-1.39075935e-07	-7.00081234e-08	-6.90678118e-08
9.3             	-4.69394490e-10	1.17408501e+00	-1.35587583e-07	-6.82631861e-08	-6.73243971e-08
9.35            	-4.59897328e-10	1.17303355e+00	-1.20826607e-07	-6.08732006e-08	-5.99534060e-08
9.4             	-4.47735620e-10	1.17195550e+00	-1.24987863e-07	-6.29416673e-08	-6.20461961e-08
9.45            	-4.36821568e-10	1.17087180e+00	-1.21270787e-07	-6.10722152e-08	-6.01985721e-08
9.5             	-4.28213426e-10	1.16979655e+00	-1.25145823e-07	-6.30011252e-08	-6.21446983e-08
9.55            	-4.25548528e-10	1.16872250e+00	-1.11495781e-07	-5.61734388e-08	-5.53223417e-08
9.6             	-4.21577140e-10	1.16767881e+00	-9.89337068e-08	-4.98884305e-08	-4.90452762e-08
9.65            	-4.14857438e-10	1.16661246e+00	-9.47743497e-08	-4.78020323e-08	-4.69723174e-08
9.7             	-4.99081033e-10	1.16549435e+00	-1.62289176e-07	-8.16436688e-08	-8.06455067e-08
9.75            	-5.97705373e-10	1.16444990e+00	-1.45648995e-07	-7.34222026e-08	-7.22267919e-08
9.8             	-6.89842013e-10	1.16343665e+00	-1.74554945e-07	-8.79673146e-08	-8.65876306e-08
9.85            	-6.81841778e-10	1.16255490e+00	-1.32045510e-07	-6.67045968e-08	-6.53409132e-08
9.9             	-7.36534119e-10	1.16164302e+00	-7.71233563e-08	-3.92982123e-08	-3.78251441e-08
9.95            	-8.07344881e-10	1.16054786e+00	-1.09737838e-07	-5.56762640e-08	-5.40615742e-08
10              	-8.71170183e-10	1.15935861e+00	-1.20629303e-07	-6.11858219e-08	-5.94434815e-08
10.05           	-9.12582091e-10	1.15839063e+00	-1.42770381e-07	-7.22977725e-08	-7.04726083e-08
10.1            	-9.50803453e-10	1.15746260e+00	-1.02785929e-07	-5.23437679e-08	-5.04421610e-08
10.15           	-9.86250762e-10	1.15654235e+00	-9.88647156e-08	-5.04186086e-08	-4.84461071e-08
10.2            	-1.01494576e-09	1.15565590e+00	-5.56349183e-08	-2.88324049e-08	-2.68025134e-08
10.25           	-1.04261912e-09	1.15479237e+00	-1.17545396e-07	-5.98153171e-08	-5.77300789e-08
10.3            	-1.06581076e-09	1.15390253e+00	-8.12710440e-08	-4.17013328e-08	-3.95697112e-08
10.35           	-1.08513356e-09	1.15303620e+00	-5.41061729e-08	-2.81382200e-08	-2.59679529e-08
10.4            	-1.10559512e-09	1.15211066e+00	-8.89642572e-08	-4.55877237e-08	-4.33765335e-08
10.45           	-1.12100419e-09	1.15122882e+00	-5.14790236e-08	-2.68605160e-08	-2.46185076e-08
10.5            	-1.13256177e-09	1.15034740e+00	-5.21042073e-08	-2.71846654e-08	-2.49195419e-08
10.55           	-1.14269941e-09	1.14945406e+00	-5.77848434e-08	-3.00351211e-08	-2.77497223e-08
10.6            	-1.14114349e-09	1.14860960e+00	-1.56649487e-08	-8.97361782e-09	-6.69133085e-09
10.65           	-1.13989668e-09	1.14775471e+00	-4.93226197e-08	-2.58012066e-08	-2.35214132e-08
10.7            	-1.12822432e-09	1.14686923e+00	1.37795535e-08	5.76155242e-09	8.01800106e-09
10.75           	-1.15164978e-09	1.14609369e+00	-1.88525731e-07	-9.54145151e-08	-9.31112155e-08
10.8            	-1.11049257e-09	1.14506483e+00	2.64353265e-07	1.31066140e-07	1.33287125e-07
10.85           	-1.11407700e-09	1.14415742e+00	-1.82832657e-07	-9.25304057e-08	-9.03022517e-08
10.9            	-1.09979544e-09	1.14325585e+00	2.61486538e-08	1.19745315e-08	1.41741223e-08
10.95           	-1.08761088e-09	1.14241823e+00	1.97155416e-08	8.77015990e-09	1.09453817e-08
11              	-1.07289056e-09	1.14157851e+00	1.06029731e-08	4.22859598e-09	6.37437709e-09
11.05           	-1.05317999e-09	1.14073953e+00	2.39194080e-08	1.09065240e-08	1.30128840e-08
11.1            	-1.03007889e-09	1.13990195e+00	2.72596865e-08	1.25997644e-08	1.46599222e-08
11.15           	-1.00126169e-09	1.13906849e+00	4.97256941e-08	2.38615853e-08	2.58641087e-08
11.2            	-9.66965301e-10	1.13822155e+00	5.06217819e-08	2.43439256e-08	2.62778562e-08
11.25           	-9.28064324e-10	1.13744617e+00	7.25318801e-08	3.53378757e-08	3.71940044e-08
11.3            	-8.88029287e-10	1.13667317e+00	5.50253955e-08	2.66246685e-08	2.84007271e-08
11.35           	-8.49986136e-10	1.13587406e+00	5.09012040e-08	2.46006159e-08	2.63005881e-08
11.4            	-8.07477567e-10	1.13511359e+00	8.32312456e-08	4.08081452e-08	4.24231004e-08
